id,nazev,cena_kc,lokalita,lat,lon,plocha_m2,zdroj,skola_m,park_m,mhd_m,lekarna_m,supermarket_m,dispozice_skore,mesto,velke_mesto,mhd_dostupnost,cenove_pasmo
1083392844,Pronájem bytu 2+1 58 m² (Jednopodlažní),17500,"třída T. G. Masaryka, Mladá Boleslav - Mladá Boleslav III",50.412678,14.909828,58.0,sreality,371.7,526.5,29.6,207.6,190.8,3,Mladá Boleslav,0,0.03,2
3767747404,Pronájem bytu 3+kk 103 m²,19900,"Nádvorní, Liberec - Liberec VI-Rochlice",50.749004,15.065642,103.0,sreality,1294.7,274.1,265.5,542.4,297.1,4,Liberec,0,0.266,2
3216659276,Pronájem bytu 3+kk 135 m² (Jednopodlažní),37000,"Laudonova, Praha 10 - Štěrboholy",50.074043,14.550923,135.0,sreality,3356.0,1809.9,236.9,619.9,587.5,4,Praha 10,1,0.237,3
831734604,Pronájem bytu 2+1 60 m²,13500,"Na Kopci, Karviná - Mizerov",49.854969,18.564726,60.0,sreality,226.5,,142.8,1151.0,160.5,3,Karviná,0,0.143,1
1375556428,Pronájem bytu 1+kk 27 m²,11000,"Jarmily Glazarové, Olomouc",49.608566,17.237835,27.0,sreality,505.2,121.1,307.6,1349.5,446.5,2,Olomouc,0,0.308,1
1319138124,Pronájem bytu 2+kk 50 m²,14500,"Plzeňská, Králův Dvůr",49.94635,14.034703,50.0,sreality,820.1,2710.6,32.2,118.7,63.5,3,Králův Dvůr,0,0.032,1
3599975244,Pronájem bytu 2+kk 52 m² (Jednopodlažní),24000,"Jaromírova, Praha 2 - Nusle",50.064888,14.425387,52.0,sreality,584.3,224.9,16.6,326.0,33.7,3,Praha 2,1,0.017,3
3501740876,Pronájem bytu 1+kk 30 m²,12000,"1. máje, Olomouc",49.596958,17.260817,30.0,sreality,315.0,421.7,7.0,581.9,50.5,2,Olomouc,0,0.007,1
837944140,Pronájem bytu 2+kk 55 m²,17000,"Čapka Choda, Olomouc - Nová Ulice",49.596092,17.231142,55.0,sreality,180.7,415.7,52.0,505.5,353.9,3,Olomouc,0,0.052,2
2543010636,Pronájem bytu 2+1 53 m²,13000,"Josefa Kotase, Ostrava - Hrabůvka",49.78207,18.255808,53.0,sreality,159.9,169.4,136.2,246.1,174.1,3,Ostrava,1,0.136,1
76759884,Pronájem bytu 3+1 66 m² (Jednopodlažní),15000,"L. Janáčka, Studénka - Butovice",49.716797,18.053442,66.0,sreality,513.8,102.2,306.4,1147.3,266.3,4,Studénka,0,0.306,1
2241020748,Pronájem bytu 1+1 21 m²,10000,"Lidická, Pohořelice",48.980927,16.522532,21.0,sreality,1252.6,3223.2,11.4,204.2,470.7,2,Pohořelice,0,0.011,1
3583198028,Pronájem bytu 1+1 41 m²,9500,"U Nádraží, Rokytnice v Orlických horách",50.164116,16.465096,41.0,sreality,296.6,300.4,148.9,,75.1,2,Rokytnice v Orlických horách,0,0.149,1
2710504268,Pronájem bytu 2+kk 49 m²,29990,"Hálkova, Praha 2 - Nové Město",50.076321,14.427882,49.0,sreality,183.9,148.1,170.2,278.8,128.5,3,Praha 2,1,0.17,3
1250116428,Pronájem bytu 3+1 100 m² (Jednopodlažní),30000,"Slezská, Praha 2 - Vinohrady",50.076286,14.451951,100.0,sreality,203.5,532.1,149.1,98.1,55.4,4,Praha 2,1,0.149,3
1911776076,Pronájem bytu 2+kk 49 m²,25600,"Šrobárova, Praha 10 - Vinohrady",50.075603,14.463659,49.0,sreality,18.7,496.9,127.2,50.4,177.0,3,Praha 10,1,0.127,3
310985548,Pronájem bytu 2+kk 59 m² (Loft),25990,"Kolbenova, Praha 9 - Vysočany",50.11132,14.510686,59.0,sreality,721.5,466.7,96.6,703.2,304.3,3,Praha 9,1,0.097,3
977597260,Pronájem bytu 1+kk 30 m²,18900,"Řipská, Praha 3 - Vinohrady",50.076958,14.452554,30.0,sreality,176.1,447.5,120.8,160.6,30.9,2,Praha 3,1,0.121,2
1574196044,Pronájem bytu 1+kk 29 m²,15000,"Pelušková, Praha 9 - Kyje",50.108891,14.557946,29.0,sreality,27.2,295.2,61.3,357.6,28.6,2,Praha 9,1,0.061,1
2044154700,Pronájem bytu 1+kk 33 m²,20900,"Waltariho, Praha 9 - Hloubětín",50.10833,14.524261,33.0,sreality,850.7,457.0,289.5,953.3,575.2,2,Praha 9,1,0.29,2
3917693772,Pronájem bytu 2+1 60 m²,14000,"Cejpova, Hradec Králové - Malšovice",50.204384,15.861916,60.0,sreality,955.6,564.3,177.1,1029.9,282.8,3,Hradec Králové,0,0.177,1
2699580236,Pronájem bytu 1+kk 22 m²,15000,"K Červenému vrchu, Praha 6 - Vokovice",50.097122,14.348569,22.0,sreality,899.0,192.4,108.1,166.6,126.6,2,Praha 6,1,0.108,1
4270015308,Pronájem bytu 3+kk 85 m² (Mezonet),35000,"Čakovická, Praha - Praha 9",50.118641,14.513169,85.0,sreality,936.8,832.1,211.1,895.1,584.0,4,Praha,1,0.211,3
3516691276,Pronájem bytu 5+kk 129 m² (Mezonet),148000,"Komunardů, Praha 7 - Holešovice",50.103226,14.44998,129.0,sreality,626.6,206.2,54.6,85.9,24.8,5,Praha 7,1,0.055,3
2754499148,Pronájem bytu 3+kk 80 m²,39900,"Václavské náměstí, Praha 1 - Nové Město",50.080235,14.42968,80.0,sreality,283.4,528.0,75.8,84.4,124.6,4,Praha 1,1,0.076,3
345330508,Pronájem bytu 2+kk 43 m²,15500,"Lessnerova, Praha 10 - Petrovice",50.039814,14.559577,43.0,sreality,196.9,217.2,41.9,113.1,95.4,3,Praha 10,1,0.042,2
1928282956,Pronájem bytu 3+kk 116 m²,31900,"Na Fialce, Říčany",49.995995,14.663064,116.0,sreality,382.7,120.4,87.2,341.1,411.2,4,Říčany,0,0.087,3
1537233740,Pronájem bytu 1+kk 44 m²,17500,"K dálnici, Praha 10 - Pitkovice",50.021317,14.587619,44.0,sreality,1508.4,1865.1,411.9,1348.4,1018.6,2,Praha 10,1,0.412,2
2057327436,Pronájem bytu 1+kk 32 m²,16500,"Za Lípou, Praha 10 - Uhříněves",50.02869,14.602487,32.0,sreality,172.0,524.5,110.1,433.8,117.0,2,Praha 10,1,0.11,2
4207956812,Pronájem bytu 1+kk 35 m²,15900,"Hornoměcholupská, Praha 10 - Horní Měcholupy",50.048908,14.542502,35.0,sreality,1329.9,361.0,134.3,201.4,192.4,2,Praha 10,1,0.134,2
3334501196,Pronájem bytu 2+kk 56 m²,23000,"Velenovského, Praha 10 - Záběhlice",50.053226,14.512899,56.0,sreality,634.8,370.9,163.4,331.9,326.0,3,Praha 10,1,0.163,3
3463144268,Pronájem bytu 2+kk 43 m²,18700,"Jablonecká, Praha 9 - Střížkov",50.123234,14.495726,43.0,sreality,286.0,379.7,165.9,249.3,92.8,3,Praha 9,1,0.166,2
4093535052,Pronájem bytu 3+1 72 m²,28900,"Ovčárská, Praha 10 - Malešice",50.081703,14.507222,72.0,sreality,486.4,285.1,118.7,449.3,186.5,4,Praha 10,1,0.119,3
158495564,Pronájem bytu 2+kk 53 m²,25500,"Fafkových, Praha 9 - Vysočany",50.109642,14.514264,53.0,sreality,510.4,287.1,94.4,955.6,93.0,3,Praha 9,1,0.094,3
953905996,Pronájem bytu 2+kk 55 m²,20900,"Františka Diviše, Praha 10 - Uhříněves",50.035309,14.581628,55.0,sreality,956.9,1602.7,171.9,1255.3,784.1,3,Praha 10,1,0.172,2
3898671948,Pronájem bytu 2+kk 53 m²,20500,"K Netlukám, Praha 10 - Uhříněves",50.038673,14.611963,53.0,sreality,1129.1,602.5,255.0,1278.0,844.3,3,Praha 10,1,0.255,2
1283670860,Pronájem bytu 1+1 31 m² (Jednopodlažní),16000,"Dubová, Brno - Jundrov",49.212811,16.550381,31.0,sreality,1083.2,176.5,104.6,653.6,554.3,2,Brno,1,0.105,2
2120700748,Pronájem bytu 1+1 36 m²,10900,"Hranice - Hranice I-Město, okres Přerov",49.547966,17.734694,36.0,sreality,211.1,,74.4,75.0,88.3,2,okres Přerov,0,0.074,1
1032012620,Pronájem bytu 1+kk 22 m²,10000,"Vrážská, Praha 5 - Radotín",49.988689,14.36845,22.0,sreality,2355.9,1750.0,56.9,505.4,509.8,2,Praha 5,1,0.057,1
226706252,Pronájem bytu 2+kk 46 m²,20000,"Habrová, Praha - Žižkov",50.088657,14.494246,46.0,sreality,454.8,259.9,216.4,455.2,390.9,3,Praha,1,0.216,2
1870615372,Pronájem bytu 2+kk 55 m²,19000,"Lomená, Zbuzany",50.026001,14.282925,55.0,sreality,1141.9,1340.2,58.2,1216.2,603.8,3,Zbuzany,0,0.058,2
2479571788,Pronájem bytu 1+kk 36 m²,10000,"U Pondu, Heřmanova Huť - Vlkýš",49.714481,13.089204,36.0,sreality,,2263.5,248.4,,,2,Heřmanova Huť,0,0.248,1
3447931724,Pronájem bytu 1+kk 45 m²,11500,"Hrobice, okres Zlín",49.277466,17.788008,45.0,sreality,1918.3,2627.5,137.5,3213.7,1926.9,2,okres Zlín,0,0.138,1
310592332,Pronájem bytu 4+kk 123 m² (Jednopodlažní),40000,"Klausova, Praha 5 - Stodůlky",50.0355,14.342851,123.0,sreality,716.7,241.8,484.8,50.2,205.8,5,Praha 5,1,0.485,3
1652769612,Pronájem bytu 2+1 49 m²,15000,"Přátelství, Cheb",50.073311,12.355053,49.0,sreality,994.1,843.2,111.2,668.4,175.6,3,Cheb,0,0.111,1
2151567948,Pronájem bytu 3+kk 98 m²,47900,"Václavské náměstí, Praha 1 - Nové Město",50.080235,14.42968,98.0,sreality,283.4,528.0,75.8,84.4,124.6,4,Praha 1,1,0.076,3
2379891532,Pronájem bytu 1+kk 26 m² (Jednopodlažní),15000,"Svitavská, Brno - Husovice",49.207775,16.628183,26.0,sreality,94.4,387.7,87.3,188.5,119.6,2,Brno,1,0.087,1
1637024588,Pronájem bytu 1+kk 25 m²,15000,"Na Královce, Praha 10 - Vršovice",50.069847,14.449124,25.0,sreality,259.3,758.0,224.2,319.5,185.6,2,Praha 10,1,0.224,1
1923027532,Pronájem bytu 3+1 97 m²,50000,"Rašínovo nábřeží, Praha 2",50.069775,14.414648,97.0,sreality,134.5,484.4,191.7,341.1,92.8,4,Praha 2,1,0.192,3
4036846412,Pronájem bytu 3+kk 74 m² (Jednopodlažní),26000,"Holečkova, Praha 5 - Smíchov",50.073959,14.394572,74.0,sreality,394.1,423.6,46.0,439.2,135.4,4,Praha 5,1,0.046,3
1732596556,Pronájem bytu 2+1 68 m²,25000,"Kouřimská, Praha 3 - Vinohrady",50.077423,14.470357,68.0,sreality,244.5,473.5,107.9,78.2,162.7,3,Praha 3,1,0.108,3
642147148,Pronájem bytu 2+1 60 m²,26000,"Veletržní, Praha 7 - Holešovice",50.102238,14.434713,60.0,sreality,1165.9,981.2,137.1,197.7,33.2,3,Praha 7,1,0.137,3
1838941004,Pronájem bytu 2+kk 43 m²,18500,"Brusnicová, Květnice",50.057957,14.676107,43.0,sreality,946.8,466.8,351.0,1448.6,495.5,3,Květnice,0,0.351,2
1112544076,Pronájem bytu 3+kk 126 m²,45000,"Odborů, Praha 2 - Nové Město",50.077522,14.418634,126.0,sreality,157.5,413.4,55.3,204.4,18.5,4,Praha 2,1,0.055,3
3531547212,Pronájem bytu 3+kk 127 m²,63557,"Truhlářská, Praha 1 - Nové Město",50.08984,14.428707,127.0,sreality,100.8,310.7,39.3,38.4,36.3,4,Praha 1,1,0.039,3
840827724,Pronájem bytu 3+1 96 m² (Mezonet),44000,"Odborů, Praha 2 - Nové Město",50.077534,14.418846,96.0,sreality,160.3,428.0,51.0,191.5,20.5,4,Praha 2,1,0.051,3
1132675916,Pronájem bytu 1+kk 24 m²,7000,"U Hřiště, Žatec",50.326771,13.533927,24.0,sreality,954.0,475.3,65.5,472.7,769.2,2,Žatec,0,0.066,1
2299548492,Pronájem bytu 3+kk 71 m²,29900,"Řeznická, Praha 1 - Nové Město",50.077965,14.423656,71.0,sreality,143.9,251.0,185.8,220.4,38.4,4,Praha 1,1,0.186,3
490033996,Pronájem bytu 2+kk 51 m²,21500,"Křížová, Praha 5 - Smíchov",50.061813,14.405348,51.0,sreality,737.3,825.4,62.0,87.7,27.3,3,Praha 5,1,0.062,2
3568792396,Pronájem bytu 3+1 129 m²,90000,"Masarykovo nábřeží, Praha 1 - Nové Město",50.07827,14.414387,129.0,sreality,90.0,101.9,178.9,387.1,6.9,4,Praha 1,1,0.179,3
3905430092,Pronájem bytu 3+kk 127 m²,63557,"Truhlářská, Praha 1 - Nové Město",50.08984,14.428706,127.0,sreality,100.8,310.7,39.3,38.3,36.2,4,Praha 1,1,0.039,3
951997260,Pronájem bytu 1+kk 35 m²,15000,"Poupětova, Praha 7 - Holešovice",50.106716,14.448312,35.0,sreality,239.0,547.3,107.1,239.0,94.1,2,Praha 7,1,0.107,1
1124422476,Pronájem bytu 4+kk 111 m²,35000,"Sazovická, Praha 5 - Zličín",50.057873,14.283536,111.0,sreality,1981.2,429.8,225.6,556.9,73.6,5,Praha 5,1,0.226,3
1158050636,Pronájem bytu 1+kk 44 m²,16900,"Bratislavská, Praha 10 - Hostivař",50.0439,14.515306,44.0,sreality,298.9,55.2,108.9,744.2,184.2,2,Praha 10,1,0.109,2
1933398860,Pronájem bytu 4+1 128 m²,40000,"Služská, Praha 8 - Kobylisy",50.125587,14.450299,128.0,sreality,676.1,705.8,133.3,165.0,127.5,5,Praha 8,1,0.133,3
2214880076,Pronájem bytu 2+kk 45 m²,18000,"V jezírkách, Praha 4 - Chodov",50.026711,14.5195,45.0,sreality,1016.1,949.7,113.3,131.5,311.5,3,Praha 4,1,0.113,2
2816033612,Pronájem bytu 2+1 49 m²,17000,"Na Václavce, Praha 5 - Smíchov",50.065571,14.397406,49.0,sreality,569.1,499.4,141.6,419.9,106.3,3,Praha 5,1,0.142,2
2850452300,Pronájem bytu 2+kk 60 m²,25000,"Pod dvorem, Praha 6 - Veleslavín",50.09462,14.35004,60.0,sreality,739.4,119.5,179.8,170.2,356.6,3,Praha 6,1,0.18,3
2986632012,Pronájem bytu 2+kk 45 m²,16000,"U kněžské louky, Praha 3 - Žižkov",50.094086,14.493362,45.0,sreality,620.4,180.9,212.2,215.2,155.8,3,Praha 3,1,0.212,2
3133035340,Pronájem bytu 2+kk 55 m²,28000,"U Petřin, Praha 6 - Břevnov",50.0867,14.340384,55.0,sreality,399.9,158.9,34.3,339.7,43.5,3,Praha 6,1,0.034,3
3248640844,Pronájem bytu 1+kk 31 m²,14000,"Ke Smíchovu, Praha 5 - Slivenec",50.020149,14.35514,31.0,sreality,1055.1,1115.3,25.4,1967.8,84.7,2,Praha 5,1,0.025,1
3302703948,Pronájem bytu 3+kk 53 m²,19000,"Teplická, Praha 9 - Střížkov",50.124855,14.485474,53.0,sreality,740.3,153.7,64.3,317.8,152.9,4,Praha 9,1,0.064,2
3317977932,Pronájem bytu 3+kk 100 m²,39000,"Vítězná, Praha 1 - Malá Strana",50.081207,14.406137,100.0,sreality,692.6,251.9,68.8,595.0,76.0,4,Praha 1,1,0.069,3
3750544204,Pronájem bytu 3+1 93 m²,48900,"Bolzanova, Praha 1 - Nové Město",50.085979,14.435782,93.0,sreality,384.2,702.4,20.9,332.0,141.3,4,Praha 1,1,0.021,3
4018430796,Pronájem bytu 1+kk 30 m²,13000,"Mikulova, Praha 4 - Chodov",50.029869,14.514223,30.0,sreality,1185.8,855.2,230.4,433.0,147.3,2,Praha 4,1,0.23,1
2692957004,Pronájem bytu 1+kk 32 m²,19900,"Poděbradská, Praha 9 - Hloubětín",50.103493,14.524043,32.0,sreality,775.0,708.4,55.6,970.2,269.9,2,Praha 9,1,0.056,2
4035134284,Pronájem  pokoje 84 m²,5000,"Bayerova, Brno - Veveří",49.207886,16.601278,84.0,sreality,19.5,284.7,158.5,193.1,126.1,3,Brno,1,0.158,1
1548501836,Pronájem  pokoje 15 m²,9990,"Vybíralova, Praha 9 - Černý Most",50.103989,14.57938,15.0,sreality,62.5,74.3,192.1,605.8,189.0,3,Praha 9,1,0.192,1
75252556,Pronájem bytu 2+1 46 m²,20990,"Plzeňská, Praha 5 - Smíchov",50.072472,14.395679,46.0,sreality,370.0,423.8,169.8,450.5,25.4,3,Praha 5,1,0.17,2
3684516684,Pronájem bytu 1+kk 28 m²,12990,"Ronkova, Praha 8 - Libeň",50.105648,14.476738,28.0,sreality,730.2,78.4,95.0,264.5,233.1,2,Praha 8,1,0.095,1
1963811660,Pronájem bytu 3+kk 84 m²,33990,Praha 5 - Košíře,50.066917,14.362328,84.0,sreality,610.0,660.9,114.7,617.0,349.2,4,Praha 5,1,0.115,3
2172863308,Pronájem bytu 1+1 32 m²,10900,"Jílová, Olomouc - Neředín",49.59029,17.229652,32.0,sreality,141.9,112.1,173.2,273.4,300.6,2,Olomouc,0,0.173,1
4288308044,Pronájem bytu 3+1 92 m²,22990,"Pod strání, Praha 10 - Strašnice",50.069012,14.501375,92.0,sreality,127.1,223.7,336.9,244.6,227.2,4,Praha 10,1,0.337,3
3125244748,Pronájem bytu 2+kk 42 m² (Jednopodlažní),19900,"Tatarkova, Praha 4 - Háje",50.029076,14.527884,42.0,sreality,437.9,870.8,164.5,211.5,104.7,3,Praha 4,1,0.164,2
949506892,Pronájem bytu 1+kk 34 m² (Jednopodlažní),17300,"Modrého, Praha 9 - Hloubětín",50.105743,14.523801,34.0,sreality,741.0,521.7,220.0,965.5,328.6,2,Praha 9,1,0.22,2
2961789772,Pronájem bytu 2+kk 79 m²,35000,"Mlýnská, Praha 6 - Bubeneč",50.108467,14.405503,79.0,sreality,207.3,582.4,155.8,847.1,597.5,3,Praha 6,1,0.156,3
3867362124,Pronájem bytu 2+1 63 m²,22800,"Bojasova, Praha 8 - Kobylisy",50.131096,14.465878,63.0,sreality,244.8,680.6,269.9,399.2,32.8,3,Praha 8,1,0.27,3
931349324,Pronájem bytu 1+1 37 m²,9000,"Československé armády, Hlinsko",49.764027,15.917792,37.0,sreality,416.7,321.2,337.8,518.7,293.1,2,Hlinsko,0,0.338,1
1468220236,Pronájem bytu 3+kk 94 m²,35000,"Oldřichova, Praha 2 - Nusle",50.065563,14.427973,94.0,sreality,462.1,132.8,103.2,446.2,59.7,4,Praha 2,1,0.103,3
3912520524,Pronájem bytu 2+kk 70 m²,28000,"Rybalkova, Praha 10 - Vršovice",50.071102,14.444413,70.0,sreality,112.5,507.2,212.6,559.3,30.7,3,Praha 10,1,0.213,3
3028501324,Pronájem bytu 1+1 42 m²,10500,"Hálkova, Doksy",50.561562,14.654758,42.0,sreality,226.5,180.9,231.1,324.6,209.0,2,Doksy,0,0.231,1
596734796,Pronájem bytu 3+1 86 m²,14000,"Holoubkov, okres Rokycany",49.775982,13.692457,86.0,sreality,,1875.6,578.0,188.7,3363.1,4,okres Rokycany,0,0.578,1
3544212300,Pronájem bytu 3+kk 74 m²,25900,"Zahradní, Plzeň - Východní Předměstí",49.735649,13.387497,74.0,sreality,1160.8,687.7,68.8,158.0,122.4,4,Plzeň,0,0.069,3
4137902924,Pronájem bytu 1+1 30 m²,17100,"Pod Terebkou, Praha 4 - Nusle",50.062389,14.436373,30.0,sreality,208.6,149.6,102.3,364.2,95.2,2,Praha 4,1,0.102,2
4010562380,Pronájem bytu 1+kk 27 m²,19900,"Veletržní, Praha 7 - Holešovice",50.10162,14.430485,27.0,sreality,1215.3,1181.9,91.4,28.7,69.7,2,Praha 7,1,0.091,2
441140044,Pronájem bytu 2+kk 57 m² (Jednopodlažní),34000,"Leitnerova, Brno - Staré Brno",49.191383,16.602381,57.0,sreality,114.6,208.4,166.0,168.6,72.3,3,Brno,1,0.166,3
1166230348,Pronájem bytu 2+kk 44 m²,12300,"U Plynárny, Uherský Brod",49.027863,17.663063,44.0,sreality,901.4,1251.9,161.8,782.2,360.8,3,Uherský Brod,0,0.162,1
3250262860,Pronájem bytu 3+kk 79 m²,31000,"Nad Kajetánkou, Praha 6 - Břevnov",50.086315,14.37457,79.0,sreality,466.1,242.8,144.8,208.4,212.3,4,Praha 6,1,0.145,3
2336973644,Pronájem bytu 3+kk 95 m²,50000,"U Blaženky, Praha 5 - Smíchov",50.067776,14.385345,95.0,sreality,571.3,806.1,39.6,531.2,349.7,4,Praha 5,1,0.04,3
2533585740,Pronájem bytu 2+1 49 m²,25000,"Batelovská, Praha 4 - Michle",50.045612,14.449704,49.0,sreality,377.6,754.7,32.7,156.8,122.6,3,Praha 4,1,0.033,3
3149615948,Pronájem bytu 3+kk 78 m²,29500,"Ke Krči, Praha 4 - Braník",50.035912,14.411921,78.0,sreality,1245.0,414.6,8.3,164.0,37.1,4,Praha 4,1,0.008,3
1543836492,Pronájem bytu 1+kk 38 m²,17500,"Vrátnická, Praha 4 - Modřany",50.012428,14.400815,38.0,sreality,579.3,246.3,101.5,371.4,644.5,2,Praha 4,1,0.102,2
4249551692,Pronájem bytu 2+kk 46 m²,20000,"Seifertova, Praha 3 - Žižkov",50.084824,14.446784,46.0,sreality,14.1,349.1,105.5,220.9,30.1,3,Praha 3,1,0.106,2
740434764,Pronájem bytu 2+kk 45 m²,19900,"Medkova, Praha 4 - Chodov",50.032108,14.496846,45.0,sreality,495.5,1063.1,250.9,216.7,444.3,3,Praha 4,1,0.251,2
2895184716,Pronájem bytu 2+kk 60 m²,36000,"U Rajské zahrady, Praha 3 - Žižkov",50.082943,14.44389,60.0,sreality,187.9,68.6,28.6,321.3,212.4,3,Praha 3,1,0.029,3
1403999052,Pronájem bytu 3+kk 76 m²,38000,"Nad Laurovou, Praha 5 - Smíchov",50.061573,14.394551,76.0,sreality,756.8,98.5,94.4,683.5,275.9,4,Praha 5,1,0.094,3
2863874892,Pronájem bytu 3+1 74 m² (Jednopodlažní),10000,"Nová Čtvrť, Nivnice",48.978012,17.649687,74.0,sreality,,4516.7,452.9,4863.7,383.2,4,Nivnice,0,0.453,1
2893480780,Pronájem bytu 2+1 44 m²,11500,"Habrová, Třinec - Dolní Líštná",49.679153,18.681068,44.0,sreality,816.2,475.3,292.2,854.0,113.2,3,Třinec,0,0.292,1
670131020,Pronájem bytu 1+kk 27 m²,11500,"Jarolímkovo náměstí, Zlín - Malenovice",49.204899,17.59621,27.0,sreality,3518.6,2301.1,121.1,348.8,1818.4,2,Zlín,0,0.121,1
2121093964,Pronájem bytu 3+kk 72 m²,21700,"Matochova, Olomouc - Hejčín",49.6007,17.231621,72.0,sreality,483.8,374.1,137.5,590.8,611.0,4,Olomouc,0,0.138,2
467227468,Pronájem bytu 2+kk 51 m²,17000,"Lesní, Holubice - Kozinec",50.196095,14.299754,51.0,sreality,3895.7,2816.4,336.4,4822.0,156.9,3,Holubice,0,0.336,2
1373987660,Pronájem bytu 1+kk 36 m²,15000,"Kubelíkova, Praha 3 - Žižkov",50.08215,14.448494,36.0,sreality,309.3,334.4,226.9,54.8,29.8,2,Praha 3,1,0.227,1
1219707724,Pronájem bytu 4+1 104 m²,22000,"Ruská, Mariánské Lázně",49.969112,12.701417,104.0,sreality,4390.9,625.9,129.2,361.0,104.8,5,Mariánské Lázně,0,0.129,2
1582498636,Pronájem bytu 2+kk 46 m²,13500,"Ostrava - Mariánské Hory, okres Ostrava-město",49.832199,18.257538,46.0,sreality,167.2,265.0,325.5,470.7,469.1,3,okres Ostrava-město,1,0.326,1
1220633420,Pronájem bytu 2+kk 60 m² (Podkrovní),21000,"Čistovická, Praha 6 - Řepy",50.074398,14.317887,60.0,sreality,197.5,514.0,107.6,987.6,207.1,3,Praha 6,1,0.108,2
968049484,Pronájem bytu 2+1 70 m²,20500,"Vejdovského, Olomouc - Hodolany",49.589458,17.270485,70.0,sreality,383.0,692.8,31.0,187.9,200.5,3,Olomouc,0,0.031,2
162743116,Pronájem bytu 2+1 61 m²,10000,"Nelsonská, Osek",50.622692,13.68941,61.0,sreality,,532.6,170.1,244.6,3599.2,3,Osek,0,0.17,1
1504920396,Pronájem bytu 3+1 65 m²,18000,"alej Svobody, Plzeň - Severní Předměstí",49.76762,13.369512,65.0,sreality,186.9,158.1,187.7,150.2,373.8,4,Plzeň,0,0.188,2
2093941580,Pronájem bytu 3+kk 80 m² (Jednopodlažní),12000,"Sklářská, Litvínov - Hamr",50.591633,13.573851,80.0,sreality,813.1,1514.7,91.9,2249.4,219.4,4,Litvínov,0,0.092,1
3199419212,Pronájem bytu 3+1 67 m²,14900,"Švédská, Ostrava - Muglinov",49.849983,18.30304,67.0,sreality,636.0,1737.3,211.8,710.3,753.1,4,Ostrava,1,0.212,1
2394112844,Pronájem  pokoje 20 m²,12500,"Bítovská, Praha 4 - Michle",50.046078,14.452724,20.0,sreality,506.8,549.8,229.5,331.9,308.3,3,Praha 4,1,0.23,1
3700577100,Pronájem bytu 2+kk 85 m²,33900,"Šítkova, Praha 1 - Nové Město",50.078659,14.414408,85.0,sreality,106.9,112.0,137.5,345.1,39.3,3,Praha 1,1,0.138,3
